(Б, 0.94824840460779), (Е, 0.85725903598878), (К, 0.8277498414002689), (Ь, 0.8264298951576045), (Й, 0.8201009594272868), (Ц, 0.7838996431773623), (З, 0.7667419748303835), (В, 0.7659152152293205), (Ъ, 0.7542860472476149), (Р, 0.7367094343691056), (А, 0.7269630938821539), (И, 0.7243957346124419), (О, 0.7207547677381435), (Д, 0.7187467538031629), (Н, 0.708095826292497), (Х, 0.6927167326354107), (Э, 0.6868024719042474), (Ё, 0.6838563688944765), (П, 0.681273726500961), (Я, 0.6745680590106164), (Ч, 0.6569030620155862), (У, 0.6289523511445285), (Ф, 0.6275366751167308), (Т, 0.5914445706425642), (Л, 0.5903677202104662), (Ы, 0.5883979773242514), (Ж, 0.5485220875362132), (Щ, 0.5260066620428581), (С, 0.5225168926688515), (Г, 0.49399213031319067), (М, 0.4825362793896465), (Ш, 0.4465715146331506), (Ю, 0.4131629491332378)
(Ъ, 0.9746220950719617), (Ц, 0.8287938295918004), (Х, 0.8284179956697273), (А, 0.8225140218611728), (К, 0.8115468537776763), (Ч, 0.8068149173339325), (Э, 0.8053063641532235), (Б, 0.7984493294954675), (Е, 0.7689329256803381), (В, 0.7605180004811856), (Н, 0.7588193165940779), (Ь, 0.7580971435395186), (И, 0.7508819148059598), (П, 0.7369012254930385), (Я, 0.7228674200645253), (Й, 0.7088402630569914), (З, 0.7017056057456379), (О, 0.6930185690282786), (У, 0.6766878869936849), (Д, 0.6700072148461069), (Ф, 0.6691828753862759), (Ы, 0.6618028439649059), (Ж, 0.6592782660489642), (Р, 0.6464830700130157), (Л, 0.6317136092340545), (Т, 0.6115670927400787), (Щ, 0.6078356382217255), (М, 0.5812650337320793), (Ё, 0.5662874933875199), (Ш, 0.5377237213722993), (Ю, 0.48747053007650165), (С, 0.440657232000238), (Г, 0.41200286810870657)
(Ё, 0.9202060238521439), (Й, 0.7256968633354246), (Ь, 0.693900839799607), (С, 0.6437284041702701), (Д, 0.5774437048314915), (Б, 0.5766373887694256), (З, 0.5741315988376909), (О, 0.5727821174719889), (Е, 0.5711594654373988), (Ц, 0.5611660534695417), (Э, 0.5464431764451297), (К, 0.5391167949706148), (А, 0.4969609995121088), (Ъ, 0.4959760490444426), (Г, 0.4939490836521525), (П, 0.46572801439418354), (Л, 0.4650891020365193), (Х, 0.4549394755395961), (У, 0.4459253244516389), (И, 0.4426004334592012), (Н, 0.44070421687728223), (Т, 0.43671638154849257), (Р, 0.42760066756658754), (В, 0.4134227610532524), (Щ, 0.4108956072381462), (Ч, 0.40562658376415084), (Ы, 0.3810843684559867), (Я, 0.33851724264800787), (М, 0.3315579685007739), (Ю, 0.313241848889112), (Ж, 0.3121007626115523), (Ф, 0.3081106755607499), (Ш, 0.3079222389137447)
(М, 0.9573478932633784), (Ш, 0.9089164158690041), (Ы, 0.9010298163961125), (Щ, 0.8851838298162441), (Ж, 0.8660345865885084), (Ю, 0.8575471978147053), (Ч, 0.7732134920878324), (Н, 0.7672574752125414), (П, 0.7644828088791786), (И, 0.7381836301779003), (О, 0.7263228205833496), (Ф, 0.6943721144388992), (Ц, 0.6839304152052861), (Х, 0.673004663823569), (А, 0.67157120320928), (Э, 0.6680418106716055), (Я, 0.6571063138537296), (В, 0.6343702370531994), (К, 0.6327461361517437), (Л, 0.618177498945473), (Ъ, 0.6154475391720462), (У, 0.5950546494473961), (Б, 0.5389134947815384), (Е, 0.5377517850823382), (Й, 0.5343750568373269), (Ь, 0.5261649418170267), (Р, 0.5239358845889226), (Д, 0.5180176138486641), (Т, 0.4131485537205968), (С, 0.4051402365572402), (Ё, 0.39307473784462565), (З, 0.3813457430100974), (Г, 0.29316918579600015)

(Г, 0.9402113270510709), (С, 0.7819403756422504), (Д, 0.6770387230401145), (Т, 0.6735509125742889), (У, 0.6045865515183657), (Л, 0.5994064280141789), (Е, 0.5849240876751737), (Ё, 0.5786167195562588), (З, 0.5460297997633756), (Й, 0.5357595262350905), (К, 0.5288802018781368), (Ц, 0.5262486214525135), (Р, 0.5139628535198413), (О, 0.5094430968586297), (Э, 0.5077918327999073), (П, 0.49995212677714695), (Б, 0.49169083476432374), (Х, 0.48710012599922925), (А, 0.46597590834219293), (И, 0.44525828503885734), (Н, 0.43516759703511754), (Ь, 0.42849313390239774), (Ъ, 0.4051992604735467), (В, 0.3824936952682637), (Ч, 0.3479440884756031), (Ы, 0.34613595524173046), (Щ, 0.34405714830595047), (Я, 0.33720407369392547), (Ж, 0.3077213614097104), (М, 0.27733959156843324), (Ф, 0.27479162563980697), (Ш, 0.2707184357770688), (Ю, 0.2513218047664716)
(О, 0.9743818942953082), (Ц, 0.8433916087439919), (П, 0.8216899754531235), (Н, 0.805788854576172), (К, 0.8036131042604168), (И, 0.8030088618868434), (Й, 0.7790818649054396), (А, 0.7703665322950539), (Ы, 0.7628394337133152), (Э, 0.7569511554870155), (Щ, 0.7456468678657369), (Е, 0.7404267346962166), (Б, 0.729740486188891), (Д, 0.7290919111145792), (Х, 0.7259659645606666), (Ч, 0.7170581801190434), (Ь, 0.7135414263364868), (Л, 0.7123975512247805), (В, 0.708121267702634), (У, 0.7042592950796431), (Ъ, 0.6878295880052818), (Р, 0.6861683241141081), (Ж, 0.6859124217086592), (М, 0.6827329172713992), (Я, 0.662745305386598), (Ш, 0.656365514016043), (Ф, 0.6562952985830965), (Ю, 0.6462940480149066), (Ё, 0.6453580172261343), (С, 0.6353712288908361), (З, 0.5810840712813226), (Т, 0.5594635553011686), (Г, 0.5125428526015215)
(Р, 0.9609133055621789), (Е, 0.8107719991088155), (К, 0.7989494395505368), (В, 0.7806674148514519), (Б, 0.7768448130002438), (И, 0.7571499535728682), (Н, 0.7223928620726405), (Я, 0.7184051308360451), (Ц, 0.7164438684075007), (Д, 0.7042710078153485), (П, 0.6919527396820779), (О, 0.6904535505638567), (У, 0.6846678254521001), (А, 0.6773810802944263), (Ф, 0.6756267020927906), (Х, 0.6621335106184334), (Й, 0.656156883605582), (З, 0.637858101268852), (Ъ, 0.6232328566631524), (Т, 0.611595998862285), (Ч, 0.6076727768566997), (Л, 0.6007542352774641), (Ь, 0.5982807185001944), (Ы, 0.5902141547858101), (Э, 0.5884906351251336), (Ж, 0.567210941959702), (Г, 0.5401392062728247), (Ё, 0.516578602617837), (С, 0.5078468621012895), (Щ, 0.49617514122129514), (М, 0.46432634875409173), (Ш, 0.4364888823106008), (Ю, 0.3993533712899595)
(Я, 0.9760376478474218), (В, 0.8912237100878957), (Ф, 0.8572058682988067), (И, 0.8259625644385445), (Н, 0.8171176525338251), (К, 0.7496214627485968), (Ч, 0.7493539125366697), (А, 0.7454010157175417), (Р, 0.7411834891425726), (Ж, 0.7382737572764508), (П, 0.7349875839646749), (Ы, 0.7250637438589209), (Х, 0.7221550549139062), (Б, 0.7202973310865279), (Ц, 0.714290557540992), (Ъ, 0.7041305182324097), (Е, 0.6863290373190738), (О, 0.66111006717978), (Э, 0.6361077914746374), (У, 0.6180009975011251), (Д, 0.6108143620148417), (Л, 0.6017707803099851), (М, 0.6001318847434427), (Й, 0.5921229780032389), (Ь, 0.5785562913920572), (Щ, 0.5733895379810117), (Ш, 0.5689169759369368), (З, 0.5657570162881005), (Т, 0.517655851849782), (Ю, 0.5021462058679265), (Ё, 0.4019376724215612), (Г, 0.3453444237919534), (С, 0.3433574501730162)
(Ч, 0.954972629703301), (Н, 0.8536311595434944), (И, 0.8393317361651006), (Ъ, 0.8341850825619289), (Х, 0.833035241488093), (Ц, 0.8176429513137825), (П, 0.8102978884742109), (Ж, 0.8059036533158265), (В, 0.8046490951953431), (К, 0.8003313066648403), (А, 0.7948728632787955), (Я, 0.7931241786539818), (Ф, 0.7905283831068304), (Ы, 0.7867483191363667), (Э, 0.7574162671264792), (О, 0.7353862651047876), (Б, 0.7211281315459037), (Щ, 0.7204756256704956), (Е, 0.7124637932227729), (М, 0.7075347154679227), (У, 0.6967251149239668), (Ь, 0.6632368173318648), (Р, 0.6620442257628956), (Ш, 0.660252606264343), (Л, 0.6301188204139111), (Й, 0.6287369042101107), (Д, 0.609149984982772), (Ю, 0.6081127891172049), (З, 0.5616073695103202), (Т, 0.5519562777633398), (Ё, 0.4746128404337636), (С, 0.4166844601432751), (Г, 0.3662932988928085)
